id	name	source
41780	NCAM1 interactions	Reactome
41781	AKT phosphorylates targets in the cytosol	Reactome
41782	Thrombin signalling G-protein cascades	Reactome
41783	Serotonin clearance from the synaptic cleft	Reactome
41784	G-protein mediated events	Reactome
41785	Isoleucine catabolism	Reactome
41786	Cell surface interactions at the vascular wall	Reactome
41787	DNA Damage Recognition in GG-NER	Reactome
41788	RNA Polymerase III Transcription Initiation	Reactome
41789	Synthesis of Serotonin	Reactome
41790	Fructose 6-phosphate and ATP react to form fructose 2,6-bisphosphate and ADP	Reactome
41791	Gap-filling DNA repair synthesis and ligation in TC-NER	Reactome
41792	Axon guidance	Reactome
41793	Signaling in Immune system	Reactome
41794	Reversible phosphorolysis of pyrimidine nucleosides by uridine phosphorylase 1	Reactome
41795	Export of Viral Ribonucleoproteins from Nucleus	Reactome
41796	FGFR3 ligand binding and activation	Reactome
41797	Reversible phosphorylation of cytosolic nucleoside monophosphates by adenylate kinase 5	Reactome
41798	Unfolded Protein Response	Reactome
41799	Semaphorin interactions	Reactome
41800	Mitotic Telophase /Cytokinesis	Reactome
41801	Integration of energy metabolism	Reactome
41802	Recruitment of repair and signaling proteins to double-strand breaks	Reactome
41803	Fatty Acyl-CoA Biosynthesis	Reactome
41804	Import of palmitoyl-CoA into the mitochondrial matrix	Reactome
41805	Adrenoceptors	Reactome
41806	RNA Polymerase II Transcription Initiation And Promoter Clearance	Reactome
41807	Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity	Reactome
41808	Pausing and recovery of elongation	Reactome
41809	Arachidonate production from DAG	Reactome
41810	Steroid hormones	Reactome
41811	Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2	Reactome
41812	Phosphorylation of mitochondrial nucleosides by thymidine kinase 2, mitochondrial	Reactome
41813	ERK1 activation	Reactome
41814	ABH2 mediated Reversal of Alkylation Damage	Reactome
41815	Glyceraldehyde 3-phosphate, NAD+, and orthophosphate react to form 1,3-bisphosphoglycerate, NADH, and H+	Reactome
41816	Transcription from mitochondrial promoters	Reactome
41817	Synthesis, Secretion, and Deacylation of Ghrelin	Reactome
41818	Effects of IP3	Reactome
41819	Rev-mediated nuclear export of HIV-1 RNA	Reactome
41820	RNA Polymerase III Transcription	Reactome
41821	Enzymatic degradation of dopamine by COMT	Reactome
41822	Metabolism of bile acids and bile salts	Reactome
41823	Gap junction degradation	Reactome
41824	Release of eIF4E	Reactome
41825	Vpu mediated degradation of CD4	Reactome
41826	Glucuronidation	Reactome
41827	Pregnenolone biosynthesis	Reactome
41828	Reversible phosphorylation of cytosolic nucleoside monophosphates by deoxythymidylate kinase (thymidylate kinase)	Reactome
41829	Adherens junctions interactions	Reactome
41830	Phosphoenolpyruvate and ADP react to form pyruvate and ATP	Reactome
41831	DNA Replication	Reactome
41832	Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	Reactome
41833	Enzymatic degradation of Dopamine by monoamine oxidase	Reactome
41834	Signaling by Notch	Reactome
41835	MRN complex relocalizes to nuclear foci	Reactome
41836	mRNA Splicing	Reactome
41837	TRKA activation by NGF	Reactome
41838	Metabolism of porphyrins	Reactome
41839	Transformation of lanosterol to cholesterol	Reactome
41840	Eukaryotic Translation Initiation	Reactome
41841	Interactions of Tat with host cellular proteins	Reactome
41842	NGF-independant TRKA activation	Reactome
41843	Formation of annular gap junctions	Reactome
41844	Activation of BMF and translocation to mitochondria	Reactome
41845	mRNA Capping	Reactome
41846	Pyrimidine catabolism	Reactome
41847	Signaling by Insulin receptor	Reactome
41848	Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA	Reactome
41849	Synthesis of Dopamine	Reactome
41850	Grb2:SOS provides linkage to MAPK signaling for Intergrins	Reactome
41851	L13a-mediated translational silencing of Ceruloplasmin expression	Reactome
41852	Inorganic cation/anion SLC transporters	Reactome
41853	E2F-enabled inhibition of pre-replication complex formation	Reactome
41854	Hydrolysis of mitochondrial nucleoside 5'- and 3'-monophosphates by 5',3'-nucleotidase, mitochondrial	Reactome
41855	GPVI-mediated activation cascade	Reactome
41856	Reversible phosphorylation of cytosolic nucleoside diphosphates by nucleoside diphosphate kinase C hexamer	Reactome
41857	TNF signaling	Reactome
41858	Beta-oxidation of pristanoyl-CoA	Reactome
41859	Class B/2 (Secretin family receptors)	Reactome
41860	UTP and glucose 1-phosphate react to form UDP-glucose and pyrophosphate	Reactome
41861	TRAM Cascade	Reactome
41862	Phosphorylase kinase activates glycogen phosphorylase	Reactome
41863	Serotonin receptors	Reactome
41864	Resolution of AP sites via the single-nucleotide replacement pathway	Reactome
41865	P450 Dehydrogenation of alkanes to form alkenes	Reactome
41866	Golgi to ER Retrograde Transport	Reactome
41867	N-oxidation of nitrogen compounds	Reactome
41868	Transport of the SLBP Dependant Mature mRNA	Reactome
41869	DNA Damage Reversal	Reactome
41870	Metabolism of polyamines	Reactome
41871	Amplification of signal from the kinetochores	Reactome
41872	COPII (Coat Protein 2) Mediated Vesicle Transport	Reactome
41873	Removal of the Flap Intermediate from the C-strand	Reactome
41874	G2/M Checkpoints	Reactome
41875	Collagen adhesion via alpha 2 beta 1 glycoprotein	Reactome
41876	Signaling by Rho GTPases	Reactome
41877	Post-Elongation Processing of the Transcript	Reactome
41878	Toll Like Receptor 9 (TLR9) Cascade	Reactome
41879	ERK/MAPK targets	Reactome
41880	Electric Transmission Across Gap Junctions	Reactome
41881	ABC-family proteins mediated transport	Reactome
41882	mRNA Editing: A to I Conversion	Reactome
41883	Elongation arrest and recovery	Reactome
41884	Alcohol Dehydrogenase	Reactome
41885	NADE modulates death signalling	Reactome
41886	Ethanol is oxidized by NAD+ to form acetaldehyde, NADH, and H+	Reactome
41887	VEGF ligand-receptor interactions	Reactome
41888	mRNA 3'-end processing	Reactome
45647	ahr signal transduction pathway	BioCarta
45648	mechanism of gene regulation by peroxisome proliferators via ppara	BioCarta
45649	hypoxia-inducible factor in the cardivascular system	BioCarta
45650	hypoxia and p53 in the cardiovascular system	BioCarta
45651	phospholipase c-epsilon pathway	BioCarta
45652	basic mechanisms of sumoylation	BioCarta
45653	inactivation of gsk3 by akt causes accumulation of b-catenin in alveolar macrophages	BioCarta
45654	inhibition of cellular proliferation by gleevec	BioCarta
45655	ionomycin and phorbal ester signaling pathway	BioCarta
45656	mtor signaling pathway	BioCarta
45657	regulators of bone mineralization	BioCarta
45658	pertussis toxin-insensitive ccr5 signaling in macrophage	BioCarta
45659	fas signaling pathway (cd95)	BioCarta
45660	roles of ß arrestin dependent recruitment of src kinases in gpcr signaling	BioCarta
45661	bioactive peptide induced signaling pathway	BioCarta
45662	role of erk5 in neuronal survival pathway	BioCarta
45663	sonic hedgehog receptor ptc1 regulates cell cycle	BioCarta
45664	control of gene expression by vitamin d receptor	BioCarta
45665	g-protein signaling through tubby proteins	BioCarta
45666	mechanism of acetaminophen activity and toxicity	BioCarta
45667	btg family proteins and cell cycle regulation	BioCarta
45668	the co-stimulatory signal during t-cell activation	BioCarta
45669	erk and pi-3 kinase are necessary for collagen binding in corneal epithelia	BioCarta
45670	regulation of spermatogenesis by crem	BioCarta
45671	ceramide signaling pathway	BioCarta
45672	epo signaling pathway	BioCarta
45673	visual signal transduction	BioCarta
45674	activation of pkc through g-protein coupled receptors	BioCarta
45675	links between pyk2 and map kinases	BioCarta
45676	nerve growth factor pathway (ngf)	BioCarta
45677	dicer pathway	BioCarta
45678	actions of nitric oxide in the heart	BioCarta
45679	degradation of the rar and rxr by the proteasome	BioCarta
45680	fosb gene expression and drug abuse	BioCarta
45681	sumoylation as a mechanism to modulate ctbp-dependent gene responses	BioCarta
45682	il12 and stat4 dependent signaling pathway in th1 development	BioCarta
45683	visceral fat deposits and the metabolic syndrome	BioCarta
45684	regulation of eif2	BioCarta
45685	akap95 role in mitosis and chromosome dynamics	BioCarta
45686	prion pathway	BioCarta
45687	hop pathway in cardiac development	BioCarta
45688	antisense pathway	BioCarta
45689	alpha-synuclein and parkin-mediated proteolysis in parkinson`s disease	BioCarta
45690	oxidative stress induced gene expression via nrf2	BioCarta
45691	tnfr1 signaling pathway	BioCarta
45692	mechanism of protein import into the nucleus	BioCarta
45693	alternative complement pathway	BioCarta
45694	gata3 participate in activating the th2 cytokine genes expression	BioCarta
45695	regulation of splicing through sam68	BioCarta
45696	phosphatidylcholine biosynthesis pathway	BioCarta
45697	mechanisms of transcriptional repression by dna methylation	BioCarta
45698	role of pi3k subunit p85 in regulation of actin organization and cell migration	BioCarta
45699	telomeres telomerase cellular aging and immortality	BioCarta
45700	role of brca1 brca2 and atr in cancer susceptibility	BioCarta
45701	cyclin e destruction pathway	BioCarta
45702	influence of ras and rho proteins on g1 to s transition	BioCarta
45703	human cytomegalovirus and map kinase pathways	BioCarta
45704	repression of pain sensation by the transcriptional regulator dream	BioCarta
45705	role of egf receptor transactivation by gpcrs in cardiac hypertrophy	BioCarta
45706	srebp control of lipid synthesis	BioCarta
45707	aspirin blocks signaling pathway involved in platelet activation	BioCarta
45708	egf signaling pathway	BioCarta
45709	chaperones modulate interferon signaling pathway	BioCarta
45710	trefoil factors initiate mucosal healing	BioCarta
45711	il 2 signaling pathway	BioCarta
45712	cell cycle: g2/m checkpoint	BioCarta
45713	regulation of transcriptional activity by pml	BioCarta
45714	cell to cell adhesion signaling	BioCarta
45715	generation of amyloid b-peptide by ps1	BioCarta
45716	role of ran in mitotic spindle regulation	BioCarta
45717	igf-1 signaling pathway	BioCarta
45718	cardiac protection against ros	BioCarta
45719	classical complement pathway	BioCarta
45720	regulation of pgc-1a	BioCarta
45721	caspase cascade in apoptosis	BioCarta
45722	wnt signaling pathway	BioCarta
45723	multi-drug resistance factors	BioCarta
45724	brca1 dependent ub ligase activity	BioCarta
45725	transcription factor creb and its extracellular signals	BioCarta
45726	the prc2 complex sets long-term gene silencing through modification of histone tails	BioCarta
45727	regulation of ck1/cdk5 by type 1 glutamate receptors	BioCarta
45728	tumor suppressor arf inhibits ribosomal biogenesis	BioCarta
45729	spliceosomal assembly	BioCarta
45730	ucalpain and friends in cell spread	BioCarta
45731	sumoylation by ranbp2 regulates transcriptional repression	BioCarta
45732	chromatin remodeling by hswi/snf atp-dependent complexes	BioCarta
45733	polyadenylation of mrna	BioCarta
45734	adp-ribosylation factor	BioCarta
45735	erythropoietin mediated neuroprotection through nf-kb	BioCarta
45736	estrogen responsive protein efp controls cell cycle and breast tumors growth	BioCarta
45737	regulation of p27 phosphorylation during cell cycle progression	BioCarta
45738	apoptotic signaling in response to dna damage	BioCarta
45739	lissencephaly gene (lis1) in neuronal migration and development	BioCarta
45740	p38 mapk signaling pathway	BioCarta
45741	anthrax toxin mechanism of action	BioCarta
45742	regulation of eif-4e and p70s6 kinase	BioCarta
45743	lectin induced complement pathway	BioCarta
45744	melanocyte development and pigmentation pathway	BioCarta
45745	tnfr2 signaling pathway	BioCarta
45746	rna polymerase iii transcription	BioCarta
45747	stat3 signaling pathway	BioCarta
45748	ifn gamma signaling pathway	BioCarta
45749	il-7 signal transduction	BioCarta
45750	hemoglobins chaperone	BioCarta
45751	hiv-1 defeats host-mediated resistance by cem15	BioCarta
45752	neuroregulin receptor degredation protein-1 controls erbb3 receptor recycling	BioCarta
45753	inhibition of matrix metalloproteinases	BioCarta
45754	granzyme a mediated apoptosis pathway	BioCarta
45755	proteasome complex	BioCarta
45756	role of mitochondria in apoptotic signaling	BioCarta
45757	nitric oxide signaling pathway	BioCarta
45758	tsp-1 induced apoptosis in microvascular endothelial cell	BioCarta
45759	angiotensin ii mediated activation of jnk pathway via pyk2 dependent signaling	BioCarta
45760	integrin signaling pathway	BioCarta
45761	stathmin and breast cancer resistance to antimicrotubule agents	BioCarta
45762	basic mechanism of action of ppara pparb(d) and pparg and effects on gene expression	BioCarta
45763	il-2 receptor beta chain in t cell activation	BioCarta
45764	endocytotic role of ndk phosphins and dynamin	BioCarta
45765	tpo signaling pathway	BioCarta
45766	akt signaling pathway	BioCarta
45767	cd40l signaling pathway	BioCarta
45768	pelp1 modulation of estrogen receptor activity	BioCarta
45769	role of parkin in ubiquitin-proteasomal pathway	BioCarta
45770	downregulated of mta-3 in er-negative breast tumors	BioCarta
45771	phospholipase c signaling pathway	BioCarta
45772	ras signaling pathway	BioCarta
45773	cxcr4 signaling pathway	BioCarta
45774	p53 signaling pathway	BioCarta
45775	corticosteroids and cardioprotection	BioCarta
45776	reversal of insulin resistance by leptin	BioCarta
45777	regulation of map kinase pathways through dual specificity phosphatases	BioCarta
45778	overview of telomerase rna component gene hterc transcriptional regulation	BioCarta
45779	cell cycle: g1/s check point	BioCarta
45780	cdc25 and chk1 regulatory pathway in response to dna damage	BioCarta
45781	lck and fyn tyrosine kinases in initiation of tcr activation	BioCarta
45782	ca-calmodulin-dependent protein kinase activation	BioCarta
45783	atm signaling pathway	BioCarta
45784	role of mef2d in t-cell apoptosis	BioCarta
45785	role of nicotinic acetylcholine receptors in the regulation of apoptosis	BioCarta
45786	fc epsilon receptor i signaling in mast cells	BioCarta
45787	pdgf signaling pathway	BioCarta
45788	proteolysis and signaling pathway of notch	BioCarta
45789	yaci and bcma stimulation of b cell immune responses	BioCarta
45790	phospholipids as signalling intermediaries	BioCarta
45791	il22 soluble receptor signaling pathway	BioCarta
45792	control of skeletal myogenesis by hdac and calcium/calmodulin-dependent kinase (camk)	BioCarta
45793	segmentation clock	BioCarta
45794	phospholipase c delta in phospholipid associated cell signaling	BioCarta
45795	inhibition of huntingtons disease neurodegeneration by histone deacetylase inhibitors	BioCarta
45796	cystic fibrosis transmembrane conductance regulator (cftr) and beta 2 adrenergic receptor (b2ar) pathway	BioCarta
45797	ion channels and their functional role in vascular endothelium	BioCarta
45798	extrinsic prothrombin activation pathway	BioCarta
45799	signal dependent regulation of myogenesis by corepressor mitr	BioCarta
45800	acetylation and deacetylation of rela in nucleus	BioCarta
45801	il-10 anti-inflammatory signaling pathway	BioCarta
45802	il 4 signaling pathway	BioCarta
45803	induction of apoptosis through dr3 and dr4/5 death receptors	BioCarta
45804	platelet amyloid precursor protein pathway	BioCarta
45805	cadmium induces dna synthesis and proliferation in macrophages	BioCarta
45806	regulation of bad phosphorylation	BioCarta
45807	multiple antiapoptotic pathways from igf-1r signaling lead to bad phosphorylation	BioCarta
45808	how does salmonella hijack a cell	BioCarta
45809	ccr3 signaling in eosinophils	BioCarta
45810	pten dependent cell cycle arrest and apoptosis	BioCarta
45811	the information processing pathway at the ifn beta enhancer	BioCarta
45812	transcription regulation by methyltransferase of carm1	BioCarta
45813	vegf hypoxia and angiogenesis	BioCarta
45814	activation of csk by camp-dependent protein kinase inhibits signaling through the t cell receptor	BioCarta
45815	hiv-1 nef: negative effector of fas and tnf	BioCarta
45816	signal transduction through il1r	BioCarta
45817	pkc-catalyzed phosphorylation of inhibitory phosphoprotein of myosin phosphatase	BioCarta
45818	cycling of ran in nucleocytoplasmic transport	BioCarta
45819	alk in cardiac myocytes	BioCarta
45820	tnf/stress related signaling	BioCarta
45821	b cell survival pathway	BioCarta
45822	the 41bb-dependent immune response	BioCarta
45823	nf-kb signaling pathway	BioCarta
45824	mcalpain and friends in cell motility	BioCarta
45825	west nile virus	BioCarta
45826	agrin in postsynaptic differentiation	BioCarta
45827	effects of calcineurin in keratinocyte differentiation	BioCarta
45828	rho cell motility signaling pathway	BioCarta
45829	eicosanoid metabolism	BioCarta
45830	rho-selective guanine exchange factor akap13 mediates stress fiber formation	BioCarta
45831	apoptotic dna-fragmentation and tissue homeostasis	BioCarta
45832	tgf beta signaling pathway	BioCarta
45833	nfkb activation by nontypeable hemophilus influenzae	BioCarta
45834	chrebp regulation by carbohydrates and camp	BioCarta
45835	nfat and hypertrophy of the heart 	BioCarta
45836	signaling pathway from g-protein families	BioCarta
45837	il 6 signaling pathway	BioCarta
45838	thrombin signaling and protease-activated receptors	BioCarta
45839	cyclins and cell cycle regulation	BioCarta
45840	gamma-aminobutyric acid receptor life cycle pathway	BioCarta
45841	growth hormone signaling pathway	BioCarta
45842	g-secretase mediated erbb4 signaling pathway	BioCarta
45843	map kinase inactivation of smrt corepressor	BioCarta
45844	d4gdi signaling pathway	BioCarta
45845	role of mal in rho-mediated activation of srf	BioCarta
45846	how progesterone initiates the oocyte maturation	BioCarta
45847	er associated degradation (erad) pathway	BioCarta
45848	e2f1 destruction pathway	BioCarta
45849	protein kinase a at the centrosome	BioCarta
45850	nuclear receptors coordinate the activities of chromatin remodeling complexes and coactivators to facilitate initiation of transcription in carcinoma cells	BioCarta
45851	multi-step regulation of transcription by pitx2	BioCarta
45852	carm1 and regulation of the estrogen receptor	BioCarta
45853	sprouty regulation of tyrosine kinase signals	BioCarta
45854	no2-dependent il-12 pathway in nk cells	BioCarta
45855	role of ppar-gamma coactivators in obesity and thermogenesis	BioCarta
45856	deregulation of cdk5 in alzheimers disease	BioCarta
45857	ras-independent pathway in nk cell-mediated cytotoxicity	BioCarta
45858	eukaryotic protein translation	BioCarta
45859	stress induction of hsp regulation	BioCarta
45860	phosphoinositides and their downstream targets	BioCarta
45861	cbl mediated ligand-induced downregulation of egf receptors pathway	BioCarta
45862	fmlp induced chemokine gene expression in hmc-1 cells	BioCarta
45863	mets affect on macrophage differentiation	BioCarta
45864	skeletal muscle hypertrophy is regulated via akt-mtor pathway	BioCarta
45865	phosphorylation of mek1 by cdk5/p35 down regulates the map kinase pathway	BioCarta
45866	sodd/tnfr1 signaling pathway	BioCarta
45867	antigen processing and presentation	BioCarta
45868	attenuation of gpcr signaling	BioCarta
45869	ß-arrestins in gpcr desensitization	BioCarta
45870	fibrinolysis pathway	BioCarta
45871	metabolism of anandamide an endogenous cannabinoid	BioCarta
45872	trka receptor signaling pathway	BioCarta
45873	insulin signaling pathway	BioCarta
45874	role of ß-arrestins in the activation and targeting of map kinases	BioCarta
45875	transcriptional activation of dbpb from mrna	BioCarta
45876	il 3 signaling pathway	BioCarta
45877	ifn alpha signaling pathway	BioCarta
45878	t cell receptor signaling pathway	BioCarta
45879	double stranded rna induced gene expression	BioCarta
45880	the igf-1 receptor and longevity	BioCarta
45881	y branching of actin filaments	BioCarta
45882	rb tumor suppressor/checkpoint signaling in response to dna damage	BioCarta
45883	bcr signaling pathway	BioCarta
45884	rac1 cell motility signaling pathway	BioCarta
45885	intrinsic prothrombin activation pathway	BioCarta
45886	overview of telomerase protein component gene htert transcriptional regulation	BioCarta
45887	erk1/erk2 mapk signaling pathway	BioCarta
45888	calcium signaling by hbx of hepatitis b virus	BioCarta
45889	bone remodeling	BioCarta
45890	regulation of cell cycle progression by plk3	BioCarta
45891	opposing roles of aif in apoptosis and cell survival	BioCarta
45892	role of erbb2 in signal transduction and oncology	BioCarta
45893	activation of camp-dependent protein kinase pka	BioCarta
45894	cdk regulation of dna replication	BioCarta
45895	keratinocyte differentiation	BioCarta
45896	ctcf: first multivalent nuclear factor	BioCarta
45897	internal ribosome entry pathway	BioCarta
45898	toll-like receptor pathway	BioCarta
45899	wnt lrp6 signalling	BioCarta
45900	mapkinase signaling pathway	BioCarta
